,OriginalTweet,Sentiment,cleaned
1984,"Not thrilled about the craziness at the stores however I am liking these gas prices in Columbia, SC #lowgasprices #Covid_19 https://t.co/y16UUPpW9E",Negative,thrill crazi store howev like ga price columbia sc lowgaspr covid http co uuppw
2123,"#Covid_19 #covid19Canada #CoronaVirusUpdate NHL season suspended, World figure skating championships in Montreal canceled, Indoor activities canceled, Pool and Library will be closed and no toilet paper in supermarket ....",Negative,covid covid canada coronavirusupd nhl season suspend world figur skate championship montreal cancel indoor activ cancel pool librari close toilet paper supermarket
1486,"""Judging by the supermarket shelves, last month's #BeKind has been replaced by #FuckEverybodyElse"" ?? #Coronavirus #CoronavirusPandemic #COVID_19uk #Covid_19 https://t.co/JydAV1HUYt",Neutral,judg supermarket shelv last month bekind ha replac fuckeverybodyels coronaviru coronaviruspandem covid uk covid http co jydav huyt
878,"I work at a small local grocery store and news just hit that they're shutting schools down for three weeks. Please have patience with your cashiers, baggers, and stock people. We are trying the best we can to keep up.
#Covid_19",Extremely Positive,work small local groceri store news hit r shut school three week plea patienc cashier bagger stock peopl tri best keep covid
2850,Just a reminder to everyone that while you are stocking up on groceries don t forget to also stock up on pet food and supplies I just got home from Petsmart and bought a month s worth of items,Neutral,remind everyon stock groceri forget also stock pet food suppli got home petsmart bought month worth item
1869,So this is the supermarket situation in the Netherlands this morning. #Covid_19 https://t.co/HEU7mZbzpR,Neutral,thi supermarket situat netherland thi morn covid http co heu mzbzpr
3591,"For those who face #coronavirus
- donÂt go out side
- wash hands
- call ahead, wear mask to doctor
- stock up food, medicines
- work from home
- keep social distances
- hand sanitizer after surfaces
- avoid touching face
- good sleep, vitamins
- cough in elbow
- donÂt panic",Positive,face coronaviru go side wash hand call ahead wear mask doctor stock food medicin work home keep social distanc hand sanit surfac avoid touch face good sleep vitamin cough elbow panic
597,At a Grocery store standing around with a few dozen of my new best friends. #Covid_19 issue. Who knows. https://t.co/kQWK5RFJ2A,Extremely Positive,groceri store stand around dozen new best friend covid issu know http co kqwk rfj
1909,"Watch out for those who take advantage of people. They are like this virus and spread fast. There is enough stock out there and if you stockpile refrigerated food you will die of botulism.
#Covid_19 #panicbuying #CoronaOutbreak #stopstockpiling
#selfisolating",Negative,watch take advantag peopl like thi viru spread fast enough stock stockpil refrig food die botul covid panicbuy coronaoutbreak stopstockpil selfisol
3781,"@writing4poker @RealKidPoker I can only wish you the best of luck. Here in the #Netherlands all nightlife, restaurants, schools and maybe much more is closed. Paid looting in the supermarket ( look at the hashtag #hamsteren) making products disappear quic",Extremely Positive,write pok realkidpok onli wish best luck netherland nightlif restaur school mayb much close paid loot supermarket look hashtag hamsteren make product disappear quic
2556,Ridiculous scenes in Tesco Colney Hatch this morning. Shelves cleared like there's been a riot. The selfishness of some people filling their trolleys with multiple packs and leaving none for others is staggering. (Plus so much for getting here early to avoid crowded spaces.) https://t.co/CIhJexaYul,Extremely Negative,ridicul scene tesco colney hatch thi morn shelv clear like riot selfish peopl fill trolley multipl pack leav none stagger plu much get earli avoid crowd space http co cihjexayul
2190,Meat aisle at my local grocery store was almost completely empty so I am reverting to infancy and will be drinking mostly milk this week #Covid_19 https://t.co/YW37u3FMR9,Negative,meat aisl local groceri store wa almost complet empti revert infanc drink mostli milk thi week covid http co yw u fmr
371,"Airlines: Plane ticket prices are dropping because of the coronavirus.Â 

My cheap ass making bookings coz if I die I better die in Paris
#CoronavirusPandemic #Covid_19",Extremely Negative,airlin plane ticket price drop becau coronaviru cheap ass make book coz die better die pari coronaviruspandem covid
2743,"HEALTHY HABITS | Wash your hands after coughing or sneezing 
#FactsNotFear #Coronavirus https://t.co/mStThcHeu9 https://t.co/OmYDvBa1FJ",Positive,healthi habit wash hand cough sneez factsnotfear coronaviru http co mstthcheu http co omydvba fj
1109,I went to the Grocery Store today to pick up a few things and I just have to ask. Why the hell is everyone freaking out over Toilet Paper ? ???? #ThursdayThoughts #Covid_19 #ToiletPaperApocalypse https://t.co/16PS4ZP3Qa,Extremely Negative,went groceri store today pick thing ask whi hell everyon freak toilet paper thursdaythought covid toiletpaperapocalyp http co ps zp qa
3695,Do you have a brick and mortar store only? Now's a great time to add an online store for your business. #covid19 #coronavirus #payments #retail #ecommerce #merchantservices #merchantaccount #business #smallbiz https://t.co/z4JlGCn3Hk,Extremely Positive,brick mortar store great time add onlin store busi covid coronaviru payment retail ecommerc merchantserv merchantaccount busi smallbiz http co z jlgcn hk
1344,Wifey went to grocery store couple hours ago. No @cheerios canned food depleted. No lemons. This is new territory. #Covid_19 #CoronavirusPandemic #panicbuying,Negative,wifey went groceri store coupl hour ago cheerio food deplet lemon thi new territori covid coronaviruspandem panicbuy
2638,"Avoiding Online Shopping Portals From China Thanks To COVID-19?
 https://t.co/2TS5gN9Zv5 via @shethepeople",Positive,avoid onlin shop portal china thank covid http co ts gn zv via shethepeopl
1871,@BrentInGSO @gsochamber @LosChicosGSO I want to but IÂm over 70 and a nurse I know said not to eat out. I already risked my life on the supermarket today. #Covid_19,Negative,brentingso gsochamb loschicosgso want nur know said eat alreadi risk life supermarket today covid
2655,"@RichardBarrow Same kind of thing has been going on in South Korea, too. The large stores are losing much business to same day /next day online delivery services. Cheaper prices and more convenient. Plus, with #coronavirus epidemic, few people wanna go sh",Negative,richardbarrow kind thing ha go south korea larg store lose much busi day next day onlin deliveri servic cheaper price conveni plu coronaviru epidem peopl wanna go sh
1579,"I work for a food company. Not gonna name brand names, but it's all non-perishable, so a lot of what we sell is precisely what's now being panic-bought. A thread about why panic-buying is so unnecessary...",Extremely Negative,work food compani gonna name brand name non perish lot sell preci panic bought thread whi panic buy unnecessari
1367,@FlippinKath #coronavirus #tlna my big fear is purely money as I am a self employed Taxi Driver. If we go to lockdown Gov. Should hire us to help with online shopping deliveries as retailers would not be able to cope. Win-win!,Extremely Positive,flippinkath coronaviru tlna big fear pure money self employ taxi driver go lockdown gov hire us help onlin shop deliveri retail would abl cope win win
2884,Covid-19 could have a permanent effect on #shopping habits. Online #grocery shopping is taking off in favour of @Ocado Britain's biggest #online #supermarket https://t.co/cERM1mGlvP,Positive,covid could perman effect shop habit onlin groceri shop take favour ocado britain biggest onlin supermarket http co cerm mglvp
846,@Tesco Is it time to temporarily reintroduce bags for home delivery? It would help minimise contact between driver and customer.  Especially as many vulnerable people will be doing all their shopping online. #onlineshopping #coronavirus,Positive,tesco time temporarili reintroduc bag home deliveri would help minimi contact driver custom especi mani vulner peopl shop onlin onlineshop coronaviru
2362,"Son in-law just told me he is seeing #toiletpaper on @offerup for $7 a roll ... perhaps it's time to remind people that there are #pricegouging
laws during a national emergency &gt;&gt; Price Gouging Laws by State #COVID2019
https://t.co/6qU0VSubzH",Positive,son law told see toiletpap offerup roll perhap time remind peopl pricegoug law dure nation emerg gt gt price goug law state covid http co qu vsubzh
3396,"Imagine going shopping buying up loads of baby milk and then selling it online for 10x the price... Just imagine how much of an absolute cock you would have to be to even consider doing that ?

People are just vile... #coronavirus",Extremely Negative,imagin go shop buy load babi milk sell onlin x price imagin much absolut cock would even consid peopl vile coronaviru
2668,More worried about people then Coronavirus. This is really insane. https://t.co/wsdqLmKYQH,Extremely Negative,worri peopl coronaviru thi realli insan http co wsdqlmkyqh
978,"shout out to the man in front of me at the grocery store getting his version of coronavirus provisions: 10 bottles of wine, three frozen pizzas, a giant bag of M&amp;Ms, big bag of chips, cigarettes, and a BIG pack of condoms

#coronavirus #COVID2019 #endtimes",Neutral,shout man front groceri store get hi version coronaviru provis bottl wine three frozen pizza giant bag amp ms big bag chip cigarett big pack condom coronaviru covid endtim
250,@retailgeek Howdy. I am back in the business of retail trend data! Lates on the impact of the #COVID19 shopping surge with shopping session data. https://t.co/bZgqn5X2UR,Neutral,retailgeek howdi back busi retail trend data late impact covid shop surg shop session data http co bzgqn x ur
3380,Hema just got cancelled due to Covid-19. Might have to go practice in the toilet roll section of my local supermarket to stay in form.. ?,Negative,hema got cancel due covid might go practic toilet roll section local supermarket stay form
1805,About to walk into a grocery store and shop for myself like some kind of peasant! ? #Covid_19 really fucking has me going to the grocery store when I shouldn't be cuz people are panicking and overwhelming Instacart. #TheStruggleIsReal #CoronavirusInLA,Negative,walk groceri store shop like kind peasant covid realli fuck ha go groceri store cuz peopl panick overwhelm instacart thestruggleisr coronavirusinla
815,"Almost every hour, there is a COVID-19 update. People are literally panic buying. Ubos ang alcohol sa hypermarket sa may centris. I was sent home because of my colds. May nagbabantang lockdown sa mga ibang lugar. There's just a lot going on.",Negative,almost everi hour covid updat peopl liter panic buy ubo ang alcohol sa hypermarket sa may centri wa sent home becau cold may nagbabantang lockdown sa mga ibang lugar lot go
3493,How short sighted @woolworths and @Coles are by suspending their online shopping?? It would have been easier to promote click and collect instead of having customers in store that way controlling stock more and traffic in store. Missed opportunity #COVID?19 #coronavirus,Extremely Positive,short sight woolworth cole suspend onlin shop would easier promot click collect instead custom store way control stock traffic store miss opportun covid coronaviru
2090,"Hey ladies ??
I sale classy heels ? at affordable prices ? 

Nationwide Delivery at the shortest time possible  ?? ?  DM ?? 
 
#Buhari #CoronavirusPandemic #CoronaOutbreak #Covid_19 https://t.co/MUA1GiQtvx",Positive,hey ladi sale classi heel afford price nationwid deliveri shortest time possibl dm buhari coronaviruspandem coronaoutbreak covid http co mua giqtvx
528,"Panic buying, scarcity of food and things to counter the virus, lockdown in Manila, people being vigilant to each other in the streets, malls and other places, face masks everywhere, racism... Everything went chaotic just because of this fvcking #Covid_19  PLS GO TO HELL, BEGONE!",Extremely Negative,panic buy scarciti food thing counter viru lockdown manila peopl vigil street mall place face mask everywher racism everyth went chaotic becau thi fvcking covid pl go hell begon
2506,Ppl are waiting in grocery store lines for an hour or longer. ????? ItÂs times like this I wonder why technology like what #Amazon is implementing (no cashiers) isnÂt the norm by now. ????? #CoronaVirus #iThoughtWeWouldBeLivingLikeTheJetsonsByNow https://t.co/nBxDIf0HjR,Positive,ppl wait groceri store line hour longer time like thi wonder whi technolog like amazon implement cashier norm coronaviru ithoughtwewouldbelivinglikethejetsonsbynow http co nbxdif hjr
3544,"Shopping online for TP or other supplies? Start with Amazon Smile and your purchases can help children in crisis. Just choose Bethel Bible Village as your charity and Amazon will donate a portion of the proceeds to Bethel. https://t.co/zrxbqcKhBU
#coronavirus #shopfromhome https://t.co/yuDLpRuPBI",Extremely Positive,shop onlin tp suppli start amazon smile purcha help children crisi choo bethel bibl villag chariti amazon donat portion proce bethel http co zrxbqckhbu coronaviru shopfromhom http co yudlprupbi
443,And now this:  Ontario confirms 17 new cases of corona virus - this has to be the biggest one day increase.   One of the cases is a baby boy.   Total cases in province is now 59 #onpoli,Positive,ontario confirm new case corona viru thi ha biggest one day increas one case babi boy total case provinc onpoli
1787,"Go shopping in pairs for safety. Just saw a grocery store employee stocking Lysol wipes get bombarded and pushed to the ground by a group of women trying to grab them.
#Covid_19
#preppers",Positive,go shop pair safeti saw groceri store employ stock lysol wipe get bombard push ground group women tri grab covid prepper
3089,Is online shopping safe...shouls you disinfect things you've ordered? #coronavirus,Positive,onlin shop safe shoul disinfect thing v order coronaviru
2277,"Online shopping from a great selection at Home &amp; Business Services Store. https://t.co/j8LhpDsXG3
 via @Amazon3PSellers

#Homeoffice #DonaldTrump #coronavirus #COVID?19 #Italy #YouthWithYouEP02 #AmazonFilmfareAwards #woman
#FloridaPrimary https://t.co/0wx0ojPbRk",Extremely Positive,onlin shop great select home amp busi servic store http co j lhpdsxg via amazon psel homeoff donaldtrump coronaviru covid itali youthwithyouep amazonfilmfareaward woman floridaprimari http co wx ojpbrk
2035,"Say it isnÂt so @ShopprsDrugMart!

#ShoppersDrugMart hikes prices beyond belief amid #coronavirus #pandemic https://t.co/bMOhv15Ng9 #Toronto #Ontario #Canada #ShoppersDrugMart #TP #COVID19 #COVID2019 #CoronavirusPandemic

@blogTO 

https://t.co/bIOzcUS2pB https://t.co/2KwdnHCUfk",Neutral,say shopprsdrugmart shoppersdrugmart hike price beyond belief amid coronaviru pandem http co bmohv ng toronto ontario canada shoppersdrugmart tp covid covid coronaviruspandem blogto http co biozcu pb http co kwdnhcufk
3465,14 major US retailers shut their doors to prevent the spread of the novel coronavirus in the US! #retail #coronavirus #coronavirusoutbreak #covid19 #consumerproducts https://t.co/v7GazmPsdE,Positive,major us retail shut door prevent spread novel coronaviru us retail coronaviru coronavirusoutbreak covid consumerproduct http co v gazmpsd
3357,COVID 19 preparedness Stock up on food toilet paper but avoid panic buying says Health Canada,Extremely Negative,covid prepar stock food toilet paper avoid panic buy say health canada
1071,#2 Make sure to thank retail store workers and delivery drivers who are dealing with a LOT. Take the time to ask how they are doing and thank them. #coronavirus #choosekindness,Extremely Positive,make sure thank retail store worker deliveri driver deal lot take time ask thank coronaviru choosekind
2295,"LetÂs just say the stress of private practice pediatrics during COVID-19, social distancing, and online shopping is a BAD combination ?",Extremely Negative,let say stress privat practic pediatr dure covid social distanc onlin shop bad combin
1619,spreads quick If you are healthy follow some quick tips to remain strong Keep windows open in transportation use online methods of shopping if possible amp opt for  tap amp pay  See below for more  ,Extremely Positive,spread quick healthi follow quick tip remain strong keep window open transport use onlin method shop possibl amp opt tap amp pay see
1186,"Cmon, guys. WeÂre backed up half way down the damn aisle in the grocery store at 10PM! ON A WEEK DAY! We donÂt need to hoard months worth of groceries.. seriously. #coronapocalypse #CoronavirusOutbreak #Covid_19 https://t.co/l71gJNM5e6",Negative,cmon guy r back half way damn aisl groceri store pm week day need hoard month worth groceri serious coronapocalyp coronavirusoutbreak covid http co l gjnm e
1162,"So the wealthy people from Madrid evacuating the City have headed South East to their holiday homes en masse, the one supermarket is emptying and we now have #Covid_19 !",Positive,wealthi peopl madrid evacu citi head south east holiday home en mass one supermarket empti covid
2904,@SkyNews Why donÂt the supermarkets limit the number of units bought to say two per person? Surely that would be an easy solution to stop the the panic buyers.  #StopPanicBuying #coronavirus,Positive,skynew whi supermarket limit number unit bought say two per person sure would easi solut stop panic buyer stoppanicbuy coronaviru
3626,"#coronavirus, Walmart's answer to beating online shopping. Sorry #Amazon, you can't touch this.",Negative,coronaviru walmart answer beat onlin shop sorri amazon touch
2109,"Fam, while youÂre WFH today, call your representatives today and demand they pass the #FamiliesFirst COVID-19 bill.

- Free testing
- 14 days paid sick leave
- 3 months paid family leave
- Expanded unemployment insurance &amp; food security
- Medicaid funds

(202) 224-3121",Negative,fam r wfh today call repr today demand pass familiesfirst covid bill free test day paid sick leav month paid famili leav expand unemploy insur amp food secur medicaid fund
3122,"Yikes... been at the grocery store since 700am and in line for 30 mins with no end in sight. This is crazy awful!

#COVID2019",Extremely Negative,yike groceri store sinc line min end sight thi crazi aw covid
2780,"These posts that I keep seeing from yÂall regarding COVID-19 dismissing people are trash af. Yes, the overbuying of products (tp, sanitizer, food, even shit that they probs wonÂt use, etc.) is frustrating but let people experience their panic. ItÂs valid.",Extremely Negative,post keep see regard covid dismiss peopl trash af ye overbuy product tp sanit food even shit prob use etc frustrat let peopl experi panic valid
2541,"Doctors: 
ÂAvoid public spaces.Â
ÂCOVID-19 is most dangerous for older adults.Â

Normal people:
 ÂWe need to stock up on food and water and stay in!Â

Old people: 
ÂWE NEED TO GO TO HOBBY LOBBY, ASAP!!Â",Negative,doctor avoid public space covid danger older adult normal peopl need stock food water stay old peopl need go hobbi lobbi asap
2763,"Check up on people that rely on online shopping deliveries, they might be stuck without items they need! No toilet roll in my delivery this morning, my brother went round some shops &amp; found me some! It's madness!! #coronaUK #coronavirus #ToiletPaperPanic #toiletpapercrisis",Extremely Negative,check peopl reli onlin shop deliveri might stuck without item need toilet roll deliveri thi morn brother went round shop amp found mad coronauk coronaviru toiletpaperpan toiletpapercrisi
3172,"Confirming goods out/going out of stock from food store

A lot of babies are going to get wiped

#COVID19 #Coronavirus https://t.co/CL4L41HxKr",Neutral,confirm good go stock food store lot babi go get wipe covid coronaviru http co cl l hxkr
3113,"I find it fascinating the things people choose to hoard at the grocery store.  There was a Frito-Lay driver in front of me in line who stated he keeps running out of product. I have no problem buying beans, canned tuna, salmon, frozen fruit. #coronavirus",Negative,find fascin thing peopl choo hoard groceri store wa frito lay driver front line state keep run product problem buy bean tuna salmon frozen fruit coronaviru
1522,"This is huge news! #Us #business can expand into new industries and manufacture technology in the states to avoid economic paralysis 

#Covid_19 proves we must rethink our strictly consumer role as a nation

Election year means ideas. 
https://t.co/hrncxajFRw",Positive,thi huge news u busi expand new industri manufactur technolog state avoid econom paralysi covid prove must rethink strictli consum role nation elect year mean idea http co hrncxajfrw
3449,For the foreseeable future local Milwaukee businesses will be under HUGE financial burdens paying employees lost business or even closing due to Covid 19 If you re shopping here is how you can help support them through shopping online,Positive,fores futur local milwauk busi huge financ burden pay employ lost busi even close due covid shop help support shop onlin
944,"Grocery store lines literally wrapping around a giant Superstore in Windsor, On, Canada this afternoon - @pandemicparty   #Covid_19 https://t.co/Pghd0Qfea3  https://t.co/Mgc66JbFck",Neutral,groceri store line liter wrap around giant superstor windsor canada thi afternoon pandemicparti covid http co pghd qfea http co mgc jbfck
152,"""Officials are saying to stock up on 3 extra days worth of food in prep for the #Coronavirus outbreak; I saw a woman panick over this because she said that she didn't know what 3 extra days of food looked like.""-speech from Anti-Hunger Policy Conference.
https://t.co/r8erNbiv3P",Neutral,offici say stock extra day worth food prep coronaviru outbreak saw woman panick thi becau said know extra day food look like speech anti hung polici confer http co r ernbiv p
2610,"IÂve broken many of the #COVID2019 #COVID?19 #COVID19US health tips/guidelines for keeping one safe. Touching face, rubbing eyes, wiping mouth w/hand ??Shopping w/hundreds of folks trying to stock up on food, etc ??Totally not thinking; sad on all levels!",Extremely Positive,v broken mani covid covid covid u health tip guidelin keep one safe touch face rub eye wipe mouth w hand shop w hundr folk tri stock food etc total think sad level
1912,Most of my shopping list items out of stock in our local supermarket. This is the local naanawa (bakery). Feels like the last night of life. #Covid_19 https://t.co/6pu4IJNXMa,Positive,shop list item stock local supermarket thi local naanawa bakeri feel like last night life covid http co pu ijnxma
3217,"You would have thought that with everyone so worries about COVID-19, more people would be online shopping. But no, everyone is tightly packed into Tesco arguing over whoÂs going to get the last trolley",Extremely Negative,would thought everyon worri covid peopl would onlin shop everyon tightli pack tesco argu go get last trolley
2202,"Panic buying has swamped supermarkets. Tonight New Zealand has announced the strictest border controls in the world. In Queensland, 11 new cases of coronavirus have emerged. https://t.co/NhhGSm4Hqp @G_Chumbley #COVID_19 #7NEWS https://t.co/z6iLcb6non",Negative,panic buy ha swamp supermarket tonight new zealand ha announc strictest border control world queensland new case coronaviru emerg http co nhhgsm hqp g chumbley covid new http co z ilcb non
1939,@NewsDataDaily this is the situation at the moment in #Milan people queuing outside the supermarket to shop 1m away from each other. #lockdown #Covid_19 ?? https://t.co/IFWqdOf4S6,Neutral,newsdatadaili thi situat moment milan peopl queu outsid supermarket shop away lockdown covid http co ifwqdof
2583,Best take IÂve heard so far today-as IÂm driving into work someone calls into whatever radio show is on and says ÂItÂs 630 in the morning and IÂm at the grocery store where a lady is yelling about no hand sanitizer. Meanwhile there is still PLENTY of soap.Â #priorities #Covid_19,Extremely Positive,best take v heard far today drive work someon call whatev radio show say morn groceri store ladi yell hand sanit meanwhil still plenti soap prioriti covid
903,"alright #coronavirus you can fuq with my commute, fuq with mandatory wfh + even fuq with my online shopping addiction to china but you cannot FUQ WITH @tomhanks",Positive,alright coronaviru fuq commut fuq mandatori wfh even fuq onlin shop addict china cannot fuq tomhank
504,"Quite a few empty shelves at my local supermarket in #Montreal late this afternoon. This was the pasta section.
#Covid_19 #CoronavirusPandemic https://t.co/xhR0WjEF7A",Negative,quit empti shelv local supermarket montreal late thi afternoon thi wa pasta section covid coronaviruspandem http co xhr wjef
2492,Whatever is currently happening at the grocery store and gas station is the opposite of #SocialDistancing. #Covid_19,Neutral,whatev current happen groceri store ga station opposit socialdistanc covid
921,I went to cvs couldnÂt find any water at all so I went to gelsons and found very little water but guess what the prices for a gallon that usually runs .98cents is $3.99 now ? WTF #AMERICA SERIOUSLY!!!!! #greed #pricegouging #ShameOnYou #Covid_19 https://t.co/7z7TM6xMZ7,Extremely Negative,went cv find ani water went gelson found veri littl water guess price gallon usual run cent wtf america serious greed pricegoug shameoni covid http co z tm xmz
1900,"ItÂs not #Covid_19 that should be blamed for empty shelves in supermarkets, itÂs the inability of billion dollar corps like costco @RalphsGrocery and others to be able to adequately respond to an increased consumer demand. Supply chain systems failed. Lack of Professionalism!",Extremely Negative,covid blame empti shelv supermarket inabl billion dollar corp like costco ralphsgroceri abl adequ respond increa consum demand suppli chain system fail lack profession
331,"Is it gay to use hand sanitizer to prevent coronavirus? 

Pastor says only ÂsissiesÂ &amp; ÂpansiesÂ wash their hands to prevent #coronavirus

According to the conservative Christian pastor, Christians who use hand sanitizer have ""fake faith"" and ""no balls.""

https://t.co/ZLkI8H52La",Extremely Positive,gay use hand sanit prevent coronaviru pastor say onli sissi amp pansi wash hand prevent coronaviru accord conserv christian pastor christian use hand sanit fake faith ball http co zlki h la
879,"It'll be interesting to see how retail stores react to covid-19. Do they take a short term profit loss by closing, or do they risk a PR nightmare and long term profit and consumer trust loss by potentially having an outbreak start in their store?",Extremely Positive,interest see retail store react covid take short term profit loss close risk pr nightmar long term profit consum trust loss potenti outbreak start store
3651,"Something that needs addressing by Puerto Rico's Governor is this: ""Hello David, my name is (...) IÂm 25yo &amp; IÂm an employee for a company (at the airport) that's currently closed...my employer told us if we didnÂt have any vacations days left we wouldnÂt receive any payment""",Neutral,someth need address puerto rico governor hello david name yo amp employ compani airport current close mi employ told us ani vacat day left receiv ani payment
61,#BreakingNews #terrorists have watched closely as the #coronavirus spins its web. They now know what Americans value most. Wiping their ass! Citizens rush to buy toilet paper but neglect to stock up on food! Terrorists are holding our #toiletpaper  factories hostage! Film at 11! https://t.co/7maYfTGxJA,Extremely Negative,breakingnew terrorist watch close coronaviru spin web know american valu wipe ass citizen rush buy toilet paper neglect stock food terrorist hold toiletpap factori hostag film http co mayftgxja
1512,Assholes buying up toilet paper like it's essential. Stock up on food and use a fucking towel or shower head like a real man. #coronavirus,Positive,asshol buy toilet paper like essenti stock food use fuck towel shower head like real man coronaviru
413,Bet all the elderly people who are maybe already struggling to get shopping as it is with all the panic buying just love when a random stranger stops to take a pic of them to post online for likes and shares. Imagine that was your Gran?????????? #thinkaboutit #coronavirus,Positive,bet elderli peopl mayb alreadi struggl get shop panic buy love random stranger stop take pic post onlin like share imagin wa gran thinkaboutit coronaviru
2174,"lrt who knew COVID-19 was all we needed for ppl to start considering the digital version of everything?

cashless cash
online meetings/classes
online shopping
cloud storage

unfortunately not everyone can afford to use em yet, maybe after COVID-19 is gone let's focus here next?",Negative,lrt knew covid wa need ppl start consid digit version everyth cashless cash onlin meet class onlin shop cloud storag unfortun everyon afford use em yet mayb covid gone let focu next
2233,kinda glad the indian public isn't reacting to #COVID2019 like so many other countries with the hoarding and panic buying essentials...yet. the millions of poor in this country who buy rations daily will starve if we begin to hoard and stash food.,Extremely Negative,kinda glad indian public react covid like mani countri hoard panic buy essenti yet million poor thi countri buy ration daili starv begin hoard stash food
315,"Wala, nakita ko lang :)

Republic Act 7394 - THE CONSUMER ACT OF THE PHILIPPINES 
TITLE III. Â PROTECTION AGAINST DECEPTIVE, UNFAIR ANDUNCONSCIONABLE SALES ACTS OR PRACTICES

#Covid_19  #CoronavirusPandemic https://t.co/kkD33w5ocO",Negative,wala nakita ko lang republ act consum act philippin titl iii protect decept unfair andunconscion sale act practic covid coronaviruspandem http co kkd w oco
2230,"Also the fact of ppl panic buying and emptying supermarket shelves is a joke, disgrace, selfish and stupid... Yes I get if you suddenly b come Ill or need to self isolate but Jesus it's only for a week or two! Get a grip! #COVID_19uk #ukcoronavirus #coronavirus #Covid_19",Extremely Negative,also fact ppl panic buy empti supermarket shelv joke disgrac selfish stupid ye get suddenli b come ill need self isol jesu onli week two get grip covid uk ukcoronaviru coronaviru covid
1415,What did everyone get a bit of extra stock of at the grocery store yesterday? @coronaviruscare #BePreparedNotPanicked #Covid_19,Neutral,everyon get bit extra stock groceri store yesterday coronaviruscar bepreparednotpanick covid
3315,"shame on all media outlets &amp; social media influencer's creating panic, well done. You deserve a medal as it has worked, we have crazy people buying loo roll, pasta and canned food which usually no one ever buys. Did you change your stock market portfolios before the #coronavirus",Negative,shame media outlet amp social media influenc creat panic well done deserv medal ha work crazi peopl buy loo roll pasta food usual one ever buy chang stock market portfolio befor coronaviru
1053,Amid panic buying by the public the government seeks to allay fears of of a  food shortage  in the country The Ministry of Food Security amp Consumer Welfare insists that it can withstand hoarding amp assures it can meet the demand during the festive season,Negative,amid panic buy public govern seek allay fear food shortag countri ministri food secur amp consum welfar insist withstand hoard amp assur meet demand dure festiv season
2349,"Here's an idea, instead of greedy panic buying food, what about doing your normal shop and self imposed rationing? Just cut down on what you'd normally eat in a day. Have i just invented the COVID-19 diet? 
#COVID_19uk #ukcoronavirus #diet #panicbuying",Extremely Negative,idea instead greedi panic buy food normal shop self impo ration cut normal eat day invent covid diet covid uk ukcoronaviru diet panicbuy
2726,"March 14th, 2020

#coronavirus fears take hold in the Capitol. I went grocery shopping an hour after the store by me opened and it already looked very picked over.

Very little meat
No onions or potatoes
No toilet paper
Almost all bread gone

#TodayInWashington https://t.co/TQIGtVhj2k",Extremely Negative,march th coronaviru fear take hold capitol went groceri shop hour store open alreadi look veri pick veri littl meat onion potato toilet paper almost bread gone todayinwashington http co tqigtvhj k
593,"?? Israeli police is screening people before entering into supermarkets. Israelis started to panic buy food. 

#Israel  #Covid_19  #pandenic https://t.co/EagFghS2dN",Negative,isra polic screen peopl befor enter supermarket isra start panic buy food israel covid panden http co eagfgh dn
2043,In times of crisis like #coronavirus I canÂt believe ppl are exploiting the public by marking up prices on masks and sanitizers! RIDICULOUS! This is how we are being governed! Everything is just about money !,Extremely Negative,time crisi like coronaviru believ ppl exploit public mark price mask sanit ridicul thi govern everyth money
2895,What s more worrying than COVID 19 is empty shelves in shops selfish panic buying is putting the vulnerable at risk Perhaps consider the vulnerable amp next time you go amp panic buy pasta toilet roll amp hand sanitiser donate some to your local food bank or the elderly,Extremely Negative,worri covid empti shelv shop selfish panic buy put vulner risk perhap consid vulner amp next time go amp panic buy pasta toilet roll amp hand saniti donat local food bank elderli
2007,#Covid_19 Settle down people. Saw this at my grocery store just now. #TraderJoes needs to post this on their front door. #COVID19US https://t.co/pI8xrHRgo8,Neutral,covid settl peopl saw thi groceri store traderjo need post thi front door covid u http co pi xrhrgo
1045,"So your telling me because of #Covid_19 we are suppose to stock food, stay at home, avoid physical contact with others....
So basically WERE BECOMING INTROVERTS
YAY #introverts UNITE",Positive,tell becau covid suppo stock food stay home avoid physic contact other basic becom introvert yay introvert unit
512,MREÂs are back in stock! A great way to stockpile food and ensure you stay prepared. 12 meals in a box and two different calorie count boxes are available. #GearUpAtGearUp #BePrepared #Survival #Food #MRE #military #coronavirus #covid19 https://t.co/oGViGI2seD,Extremely Positive,mre back stock great way stockpil food ensur stay prepar meal box two differ calori count box avail gearupatgearup beprepar surviv food mre militari coronaviru covid http co ogvigi
1424,Was out buying some beers in the supermarket in the middle of the hoarding chaos. A man approached me: ÂthatÂs more like my idea of quarantaineÂ. #Covid_19 #Netherlands,Negative,wa buy beer supermarket middl hoard chao man approach like idea quarantain covid netherland
1772,"BE NICE TO COSTCO EMPLOYEES, AND ANY OTHER GROCERY STORE EMPLOYEES!! WE ARE DOING THE BEST WE CAN WITH WHAT WE HAVE! #panicbuying #coronavirus #Covid_19 https://t.co/2cJMa095ef",Extremely Positive,nice costco employe ani groceri store employe best panicbuy coronaviru covid http co cjma ef
